Joueurs,Nb de participations,Total de points,Rang,1ère place,2e place,3e place,5e à 8e place,Victoire,Finale,Demi-Finale,Quart de finale
mat88,16,80,1,1,1,1,6,0,1,1,4
jesuislusshouse,16,77,2,1,0,2,5,0,0,4,2
bergeronfrancis,14,72,3,1,0,2,4,1,1,0,2
red_mary,12,71,4,0,0,1,6,2,1,1,1
guiguilemeilleur,14,60,5,2,1,0,5,0,0,1,3
McMilhouse,16,58,6,1,0,0,5,0,2,2,1
Midi et demi,16,54,7,0,1,0,7,0,1,1,4
Genevieve D,12,43,8,0,0,0,5,0,0,2,2
Magic11,6,35,9,0,1,0,3,0,0,2,0
Fortiche1,4,33,10,0,0,0,1,1,0,1,0
Nadou8,9,32,11,2,0,0,2,0,0,0,1
Navet bleu,3,31,12,0,1,0,0,1,1,0,0
Munuo,7,30,13,0,1,1,2,0,0,0,0
Raccoon974,8,30,14,0,2,0,3,0,0,0,0
Crazy_Hummingbird,6,27,15,1,0,0,1,0,0,0,3
GabrielCL,6,27,16,0,0,0,3,0,1,1,0
Tholmir,8,26,17,1,0,0,5,0,0,0,0
Terminatersam,3,23,18,1,0,0,1,0,1,0,0
Spix_Qc,2,22,19,0,1,0,0,1,0,0,0
Das Burndt,2,21,20,1,0,0,0,0,1,0,0
Erickzoo1978,7,20,21,0,0,0,1,0,1,1,1
Falbo11,6,20,22,0,0,0,3,0,0,0,3
19max91,2,19,23,0,1,0,0,0,1,0,0
HelzeytheQueen,3,18,24,0,1,0,1,0,0,0,1
melsy,7,16,25,0,0,1,1,0,0,0,1
Qcgoofbal,9,16,26,0,0,0,1,0,0,1,3
CamN8,2,15,27,0,0,0,1,0,1,0,0
target1plus,2,15,28,0,0,0,0,0,1,1,0
Anakena,8,14,29,0,0,0,3,0,0,0,0
Francis_,2,14,30,1,0,0,1,0,0,0,0
P0oLLuXxXxX,2,14,31,0,0,0,1,0,1,0,0
Zoorim,3,14,32,0,0,1,2,0,0,0,0
Boum100,2,12,33,1,0,0,0,0,0,0,0
EricF81,3,12,34,0,0,0,0,0,1,0,1
Olibou,1,12,35,1,0,0,0,0,0,0,0
vjcalypso,2,12,36,1,0,0,0,0,0,0,0
Gramor40,7,11,37,0,0,0,4,0,0,0,0
redsuit_guy,2,8,38,0,0,1,0,0,0,0,0
1zabe11e,2,6,39,0,0,0,0,0,0,1,0
Eztech,5,6,40,0,0,0,0,0,0,0,2
jasusmannn,1,6,41,0,0,0,0,0,0,1,0
LeDitGabil,1,6,42,0,0,0,1,0,0,0,0
Rougegirl,1,6,43,0,0,0,0,0,0,1,0
Amy_Kenobi,5,5,44,0,0,0,1,0,0,0,0
Paupiette88,3,5,45,0,0,0,1,0,0,0,0
Robd01,2,5,46,0,0,0,1,0,0,0,0
Nhemo,4,4,47,0,0,0,2,0,0,0,0
Marmont,1,3,48,0,0,0,0,0,0,0,1
tibaz10,1,3,49,0,0,0,0,0,0,0,1
Yzotope,1,3,50,0,0,0,0,0,0,0,0
ArcaGraph,1,2,51,0,0,0,1,0,0,0,0
Cathou,2,0,52,0,0,0,0,0,0,0,0
Jessoya,1,0,53,0,0,0,0,0,0,0,0
JulieRivNor,1,0,54,0,0,0,0,0,0,0,0
Marieve,1,0,55,0,0,0,0,0,0,0,0
Nanzy71,1,0,56,0,0,0,0,0,0,0,0
pogo_007_,2,0,57,0,0,0,0,0,0,0,0
TherryCloutier,1,0,58,0,0,0,0,0,0,0,0
