Joueurs,Nb de participations,Total de points,Rang,1ère place,2e place,3e place,5e à 8e place,Victoire,Finale,Demi-Finale,Quart de finale
mat88,29,168,1,3,1,4,9,0,4,2,4
bergeronfrancis,27,157,2,1,2,2,9,1,5,1,2
guiguilemeilleur,26,122,3,3,1,2,8,0,1,2,5
jesuislusshouse,27,111,4,1,1,2,6,0,1,5,4
red_mary,23,108,5,0,0,1,9,3,1,2,3
Midi et demi,29,103,6,0,1,1,12,1,2,1,6
McMilhouse,29,93,7,1,0,0,8,0,3,3,4
Genevieve D,24,86,8,0,1,0,8,0,2,3,3
Nadou8,15,61,9,2,1,1,3,0,0,0,3
Magic11,13,58,10,0,1,1,7,0,0,2,0
Raccoon974,14,57,11,1,3,0,4,0,0,0,0
Spix_Qc,7,56,12,1,2,0,0,1,0,2,0
GabrielCL,11,53,13,1,0,0,4,0,1,2,1
Munuo,12,52,14,0,2,1,5,0,0,0,0
Tholmir,16,50,16,1,1,0,9,0,0,0,0
Zoorim,7,50,15,1,1,1,3,1,0,0,0
Fortiche1,6,47,17,0,0,0,2,2,0,1,0
19max91,5,43,18,1,2,0,1,0,1,0,0
HelzeytheQueen,9,43,19,1,1,0,2,0,0,1,3
Crazy_Hummingbird,11,36,21,1,0,0,2,0,0,0,4
Gramor40,13,36,22,1,0,0,6,0,0,0,2
Navet bleu,6,36,20,0,1,0,1,1,1,0,1
P0oLLuXxXxX,4,35,23,0,0,0,1,1,2,0,0
Erickzoo1978,13,33,24,0,0,0,3,0,1,2,1
Falbo11,14,31,25,0,0,0,5,0,0,0,5
Marieve,7,28,27,0,0,0,3,0,0,2,1
melsy,14,28,28,0,0,1,4,0,0,1,1
Terminatersam,5,28,26,1,0,0,2,0,1,0,1
Qcgoofbal,14,24,29,0,0,0,3,0,0,1,4
Das Burndt,2,21,30,1,0,0,0,0,1,0,0
target1plus,6,21,32,0,0,0,0,0,1,1,2
Yzotope,3,21,31,1,0,0,0,0,0,1,0
EricF81,4,18,33,0,0,0,1,0,1,0,1
Francis_,4,18,33,1,0,0,3,0,0,0,0
pogo_007_,6,18,35,0,0,1,2,0,0,0,0
Anakena,13,16,36,0,0,0,4,0,0,0,0
CamN8,2,15,37,0,0,0,1,0,1,0,0
Marmont,3,15,38,0,0,0,0,0,1,0,2
Olibou,2,14,39,1,0,0,1,0,0,0,0
Boum100,3,13,40,1,0,0,1,0,0,0,0
Cathou,3,12,41,1,0,0,0,0,0,0,0
Eztech,8,12,43,0,0,0,1,0,0,0,2
vjcalypso,4,12,42,1,0,0,0,0,0,0,0
1zabe11e,4,9,44,0,0,0,0,0,0,1,1
redsuit_guy,2,8,45,0,0,1,0,0,0,0,0
Nhemo,5,7,46,0,0,0,3,0,0,0,0
CatLRche,1,6,47,0,0,0,1,0,0,0,0
jasusmannn,1,6,47,0,0,0,0,0,0,1,0
LeDitGabil,1,6,47,0,0,0,1,0,0,0,0
Rougegirl,1,6,47,0,0,0,0,0,0,1,0
tibaz10,2,6,51,0,0,0,0,0,0,0,2
Amy_Kenobi,5,5,55,0,0,0,1,0,0,0,0
Jessoya,2,5,52,0,0,0,1,0,0,0,0
Paupiette88,4,5,54,0,0,0,1,0,0,0,0
Robd01,3,5,53,0,0,0,1,0,0,0,0
Dany Tessier,3,3,58,0,0,0,0,0,0,0,1
Khalyus,1,3,56,0,0,0,1,0,0,0,0
Malorick,1,3,56,0,0,0,0,0,0,0,1
ArcaGraph,1,2,59,0,0,0,1,0,0,0,0
funnysteph18,1,1,60,0,0,0,1,0,0,0,0
Bliknook,1,0,61,0,0,0,0,0,0,0,0
JulieRivNor,2,0,67,0,0,0,0,0,0,0,0
Moe71,1,0,61,0,0,0,0,0,0,0,0
Mr Boudro,1,0,61,0,0,0,0,0,0,0,0
Nanzy71,1,0,61,0,0,0,0,0,0,0,0
TherryCloutier,1,0,61,0,0,0,0,0,0,0,0
FernyD,1,0,61,0,0,0,0,0,0,0,0
